candidate_id,title,rubric_section,recorded_status,publication_class,publication_readiness,public_body,preservation,authority_effect
FND-007,Form Under Constraint v1.2,09_FOUNDATIONAL_CANON,SUPERSEDED,CATALOG_ONLY,CATALOG_METADATA_READY,NOT_PUBLISHED,PRIVATE_FORENSIC_ARCHIVE,NONE
P00-07-SOURCE,ACI Phases 0-7 Consolidated Developmental Source,10_PHASE_0_7_DETERMINISTIC_EXTRACTS,AUTHENTICATED_CONSOLIDATED_DEVELOPMENTAL_SOURCE,CATALOG_ONLY,CATALOG_METADATA_READY,NOT_PUBLISHED,PRIVATE_FORENSIC_ARCHIVE,NONE
P00-07-EXCLUDED-PHASE-8-7,Accidentally Appended Phase 8.7 Material,10_PHASE_0_7_DETERMINISTIC_EXTRACTS,AUTHENTICATED_ACCIDENTAL_APPENDIX,PRIVATE,EXCLUDED_FROM_PHASE_0_7_PUBLIC_INTERPRETATION,NOT_PUBLISHED,PRIVATE_FORENSIC_ARCHIVE,NONE
P09-MIN-ACI-V0.1,Minimal ACI Prototype v0.1 Accepted Release,12_PHASE_9_MINIMAL_ACI,ACCEPTED,CATALOG_ONLY,IMMUTABLE_ACCEPTED_SOURCE_ARCHIVE_CATALOG_READY,NOT_PUBLISHED,PRIVATE_FORENSIC_ARCHIVE,NONE
P11-STAGE-08-SUMMARY-GEN,Phase 11 Stage 8 Accepted Summary,15_PHASE_11_ACCEPTED_STAGES,TRANCHE_B_TECHNICALLY_COMPLETE_CANDIDATE_UNACCEPTED,PRIVATE,NO_PUBLIC_STAGE_8_SUMMARY_BODY_AUTHORIZED,NOT_PUBLISHED,PRIVATE_FORENSIC_ARCHIVE,NONE
P11-CUMULATIVE-RELEASE-STAGE-07-R2,Latest Accepted Cumulative Phase 11 Release through Stage 7,16_PHASE_11_CUMULATIVE_RELEASE,REPOSITORY_RECORDS_ASSERT_ACCEPTED_AND_SEALED_DIRECT_SEAL_ARTIFACT_NOT_PRESENT,DEFER_PENDING_REVIEW,DIRECT_INDEPENDENT_SEAL_AUTHORITY_BYTES_ABSENT,NOT_PUBLISHED,PRIVATE_FORENSIC_ARCHIVE,NONE
P11-CUMULATIVE-RELEASE-STAGE-07-R1-CATALOG,Prior Accepted Phase 11 Stage 7 Cumulative Release,16_PHASE_11_CUMULATIVE_RELEASE,HISTORICAL_ACCEPTED_PREDECESSOR,CATALOG_ONLY,CATALOG_METADATA_READY,NOT_PUBLISHED,PRIVATE_FORENSIC_ARCHIVE,NONE
METH-WORKFLOW-D7-R2,ACI Governed Engineering Workflow v2.1 Draft 7 Final Corrected R2,17_GOVERNED_ENGINEERING_WORKFLOW,WORKFLOW_NOT_PRESENT_IN_LIVE_REPOSITORY,DEFER_PENDING_REVIEW,WORKFLOW_NOT_PRESENT_IN_LIVE_REPOSITORY,NOT_PUBLISHED,PRIVATE_FORENSIC_ARCHIVE,NONE
EVID-PUBLIC-BENCHMARK-001,ACI Public Benchmark 001 IFEval Archive,18_PUBLIC_EMPIRICAL_BENCHMARK,BENCHMARK_MEASUREMENT_TERMINATED_INCOMPLETE_BY_FROZEN_CONFIGURATION_LIVENESS_BOUNDARY,CATALOG_ONLY,PRIVATE_SOURCE_PROVENANCE_CATALOG_READY,NOT_PUBLISHED,PRIVATE_FORENSIC_ARCHIVE,NONE
EVID-REASONING-BENCHMARK-002,ACI Reasoning Benchmark 002,19_INTERNAL_REASONING_BENCHMARKS,INTERNAL_REASONING_BENCHMARK_COMPLETE,CATALOG_ONLY,CATALOG_METADATA_READY,NOT_PUBLISHED,PRIVATE_FORENSIC_ARCHIVE,NONE
EVID-REASONING-BENCHMARK-003,ACI Reasoning Benchmark 003,19_INTERNAL_REASONING_BENCHMARKS,INTERNAL_REASONING_BENCHMARK_COMPLETE,CATALOG_ONLY,CATALOG_METADATA_READY,NOT_PUBLISHED,PRIVATE_FORENSIC_ARCHIVE,NONE
EVID-REASONING-BENCHMARK-004,ACI Reasoning Benchmark 004,19_INTERNAL_REASONING_BENCHMARKS,INTERNAL_REASONING_BENCHMARK_COMPLETE,CATALOG_ONLY,CATALOG_METADATA_READY,NOT_PUBLISHED,PRIVATE_FORENSIC_ARCHIVE,NONE
LESSONS-CANON-GEN,ACI Architectural Lessons Canon,20_ARCHITECTURAL_LESSONS_FAILURE_CATALOG,NOT_YET_CREATED_OR_ACCEPTED,DEFER_PENDING_REVIEW,NOT_YET_CREATED_OR_ACCEPTED,NOT_PUBLISHED,PRIVATE_FORENSIC_ARCHIVE,NONE
FAILURE-INDEX-GEN,ACI Failure Index,20_ARCHITECTURAL_LESSONS_FAILURE_CATALOG,NOT_YET_CREATED_OR_ACCEPTED,DEFER_PENDING_REVIEW,NOT_YET_CREATED_OR_ACCEPTED,NOT_PUBLISHED,PRIVATE_FORENSIC_ARCHIVE,NONE
FUTURE-FUNCTIONAL-CONTINUITY,Governed Functional Continuity,21_FUTURE_NON_GOVERNING_RESEARCH,FUTURE_ORIENTATION_ONLY,CATALOG_ONLY,CATALOG_METADATA_READY,NOT_PUBLISHED,PRIVATE_FORENSIC_ARCHIVE,NONE
FUTURE-REENTRY,Recursive Stabilization and Governed Re-entry,21_FUTURE_NON_GOVERNING_RESEARCH,FUTURE_ORIENTATION_ONLY,CATALOG_ONLY,CATALOG_METADATA_READY,NOT_PUBLISHED,PRIVATE_FORENSIC_ARCHIVE,NONE
FUTURE-HORIZON,Reflective Interiority / Horizon,21_FUTURE_NON_GOVERNING_RESEARCH,FUTURE_ORIENTATION_ONLY,CATALOG_ONLY,CATALOG_METADATA_READY,NOT_PUBLISHED,PRIVATE_FORENSIC_ARCHIVE,NONE
FUTURE-STABILITY-NOVELTY,Stability and Novelty,21_FUTURE_NON_GOVERNING_RESEARCH,FUTURE_ORIENTATION_ONLY,CATALOG_ONLY,CATALOG_METADATA_READY,NOT_PUBLISHED,PRIVATE_FORENSIC_ARCHIVE,NONE
GEN-LESSONS-README,Architectural Lessons README,22_REQUIRED_GENERATED_PUBLIC_CANDIDATES,NOT_YET_CREATED,DEFER_PENDING_REVIEW,NOT_YET_CREATED,NOT_PUBLISHED,PRIVATE_FORENSIC_ARCHIVE,NONE
GEN-FAIL-README,Failure Catalog README,22_REQUIRED_GENERATED_PUBLIC_CANDIDATES,NOT_YET_CREATED,DEFER_PENDING_REVIEW,NOT_YET_CREATED,NOT_PUBLISHED,PRIVATE_FORENSIC_ARCHIVE,NONE
CAT-GOV-CONTRACT,Representative Major Governing Contract,25_DEVELOPMENTAL_ARTIFACT_CATALOG_SEED,REPRESENTATIVE_REPOSITORY_ARTIFACT,CATALOG_ONLY,CATALOG_METADATA_READY,NOT_PUBLISHED,PRIVATE_FORENSIC_ARCHIVE,NONE
CAT-ACCEPTANCE,Representative Final Acceptance Decision,25_DEVELOPMENTAL_ARTIFACT_CATALOG_SEED,REPRESENTATIVE_REPOSITORY_ARTIFACT,CATALOG_ONLY,CATALOG_METADATA_READY,NOT_PUBLISHED,PRIVATE_FORENSIC_ARCHIVE,NONE
CAT-CORRECTION,Representative Major Correction Family,25_DEVELOPMENTAL_ARTIFACT_CATALOG_SEED,REPRESENTATIVE_REPOSITORY_ARTIFACT,CATALOG_ONLY,CATALOG_METADATA_READY,NOT_PUBLISHED,PRIVATE_FORENSIC_ARCHIVE,NONE
CAT-CLOSEOUT,Representative Stage/Tranche Closeout,25_DEVELOPMENTAL_ARTIFACT_CATALOG_SEED,REPRESENTATIVE_REPOSITORY_ARTIFACT,CATALOG_ONLY,CATALOG_METADATA_READY,NOT_PUBLISHED,PRIVATE_FORENSIC_ARCHIVE,NONE
CAT-RELEASE,Representative Historical Accepted Release,25_DEVELOPMENTAL_ARTIFACT_CATALOG_SEED,REPRESENTATIVE_REPOSITORY_ARTIFACT,CATALOG_ONLY,CATALOG_METADATA_READY,NOT_PUBLISHED,PRIVATE_FORENSIC_ARCHIVE,NONE
CAT-BENCHMARK,Representative Benchmark Campaign,25_DEVELOPMENTAL_ARTIFACT_CATALOG_SEED,REPRESENTATIVE_REPOSITORY_ARTIFACT,CATALOG_ONLY,CATALOG_METADATA_READY,NOT_PUBLISHED,PRIVATE_FORENSIC_ARCHIVE,NONE
CAT-GOVERNED-STOP,Representative Governed Stop,25_DEVELOPMENTAL_ARTIFACT_CATALOG_SEED,REPRESENTATIVE_REPOSITORY_ARTIFACT,CATALOG_ONLY,CATALOG_METADATA_READY,NOT_PUBLISHED,PRIVATE_FORENSIC_ARCHIVE,NONE
P11-STAGE-07-R2-CURATED-PUBLIC-PROJECTION,Prospective Curated Phase 11 Stage 7 R2 Public Implementation Projection,04_PHASE_11_CUMULATIVE_PUBLIC_PROJECTION,PROJECTION_NOT_AUTHORIZED_FOR_CONSTRUCTION,DEFER_PENDING_REVIEW,WITHHELD_PENDING_DIRECT_SEAL_ARTIFACT_AUTHENTICATION,NOT_PUBLISHED,PRIVATE_FORENSIC_ARCHIVE,NONE
